Epoch: 980| It: 0| Loss: 1.473e-02| physLoss: 2.870e-03 | lINITIAL: 1.819e-03 | wLoss: 8.477e-03 | inLoss: 1.548e-03 | outLoss: 1.188e-05 |Time: 0.00s | rTime: 9.631e-02h | LR: 5.000e-03
Epoch: 990| It: 0| Loss: 1.470e-02| physLoss: 2.864e-03 | lINITIAL: 1.865e-03 | wLoss: 8.371e-03 | inLoss: 1.593e-03 | outLoss: 1.000e-05 |Time: 0.00s | rTime: 9.733e-02h | LR: 5.000e-03

Predicting nn solution

 Relative L2 ERROR:
domain U velocity  : 8.777e+01 %
domain V velocity  : 7.453e+03 %
domain P Pressure  : 1.084e+02 %

 Relative l1 error
domain U velocity  : 8.350e+01 %
domain V velocity  : 1.413e+04 %
domain P Pressure  : 1.045e+02 %
